start_time,load_1_fixed_corr_mwh,load_2_fixed_corr_mwh,correction_2_fixed,load_3_wind_scaled_mwh,solar_load_mwh,solar_own_use_addition_mwh,final_load_mwh,load_3_wind_scaled_mw,solar_own_use_mw,final_load_mw,solar_to_load_ratio_pct,solar_own_use_efficiency,actual_load_mwh,wind_addition_mwh
2023-04-01 00:00:00,2552.0,2603.7897135416665,51.789713541666664,2662.7792135416666,0.0,0.0,2662.7792135416666,10651.116854166667,0.0,10651.116854166667,0.0,0.0,2923.0,58.9895
2023-04-01 00:15:00,2496.25,2548.0397135416665,51.789713541666664,2605.9309135416665,0.0,0.0,2605.9309135416665,10423.723654166666,0.0,10423.723654166666,0.0,0.0,2867.25,57.891200000000005
2023-04-01 00:30:00,2467.5,2519.2897135416665,51.789713541666664,2574.7023135416666,0.0,0.0,2574.7023135416666,10298.809254166667,0.0,10298.809254166667,0.0,0.0,2838.5,55.4126
2023-04-01 00:45:00,2435.0,2486.7897135416665,51.789713541666664,2540.1806135416664,0.0,0.0,2540.1806135416664,10160.722454166666,0.0,10160.722454166666,0.0,0.0,2806.0,53.3909
2023-04-01 01:00:00,2405.0,2456.7897135416665,51.789713541666664,2507.8100135416666,0.0,0.0,2507.8100135416666,10031.240054166667,0.0,10031.240054166667,0.0,0.0,2776.0,51.0203
2023-04-01 01:15:00,2375.5,2427.2897135416665,51.789713541666664,2475.6824135416664,0.0,0.0,2475.6824135416664,9902.729654166666,0.0,9902.729654166666,0.0,0.0,2746.5,48.392700000000005
2023-04-01 01:30:00,2356.25,2408.0397135416665,51.789713541666664,2454.3723135416667,0.0,0.0,2454.3723135416667,9817.489254166667,0.0,9817.489254166667,0.0,0.0,2727.25,46.332600000000006
2023-04-01 01:45:00,2327.0,2378.7897135416665,51.789713541666664,2423.8102135416666,0.0,0.0,2423.8102135416666,9695.240854166666,0.0,9695.240854166666,0.0,0.0,2698.0,45.0205
2023-04-01 02:00:00,2322.5,2374.2897135416665,51.789713541666664,2417.6580135416666,0.0,0.0,2417.6580135416666,9670.632054166666,0.0,9670.632054166666,0.0,0.0,2693.5,43.368300000000005
2023-04-01 02:15:00,2296.25,2348.0397135416665,51.789713541666664,2390.4568135416666,0.0,0.0,2390.4568135416666,9561.827254166667,0.0,9561.827254166667,0.0,0.0,2667.25,42.417100000000005
